Time,EngineSpeed,Pedal,TractionControl,VehicleSpeed,Gear,Altitude,Longitude,Latitude,EngineTemperature,Distance,Lap,LeanAngle
0.0,0,0.0,0,0.0,0,455.3,-2.167909,42.558333,,,0,-0.38
0.02,0,0.0,0,0.0,0,455.3,-2.167909,42.558333,,,0,-0.38
0.04,0,0.0,0,0.0,0,455.3,-2.167909,42.558333,,,0,-0.38
0.06,0,0.0,0,0.0,0,455.3,-2.167909,42.558333,,,0,-0.38
0.08,0,0.0,0,0.0,0,455.3,-2.167909,42.558333,,,0,-0.38
0.1,0,0.0,0,0.0,0,456.0,-2.167909,42.558333,,,0,-0.38
0.12,0,0.0,0,0.0,0,456.0,-2.167909,42.558333,,,0,-0.38
0.14,0,0.0,0,0.0,0,456.0,-2.167909,42.558333,,,0,-0.38
0.16,0,0.0,0,0.0,0,456.0,-2.167909,42.558333,,,0,-0.38
0.18,0,0.0,0,0.0,0,456.0,-2.167909,42.558333,,,0,-0.38
0.2,0,0.0,0,0.0,0,456.5,-2.167909,42.558331,,,0,-0.38
0.22,0,0.0,0,0.0,0,456.5,-2.167909,42.558331,,,0,-0.38
0.24,0,0.0,0,0.0,0,456.5,-2.167909,42.558331,,,0,-0.38
0.26,0,0.0,0,0.0,0,456.5,-2.167909,42.558331,,,0,-0.38
0.28,0,0.0,0,0.0,0,456.5,-2.167909,42.558331,,,0,-0.38
0.3,0,0.0,0,0.0,0,456.9,-2.167909,42.558329,,,0,-0.38
0.32,0,0.0,0,0.0,0,456.9,-2.167909,42.558329,,,0,-0.38
0.34,0,0.0,0,0.0,0,456.9,-2.167909,42.558329,,,0,-0.38
0.36,0,0.0,0,0.0,0,456.9,-2.167909,42.558329,,,0,-0.38
0.38,0,0.0,0,0.0,0,456.9,-2.167909,42.558329,,,0,-0.38
0.4,0,0.0,0,0.0,0,457.2,-2.167909,42.558329,,,0,-0.38
0.42,0,0.0,0,0.0,0,457.2,-2.167909,42.558329,,,0,-0.38
